variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#2a9d8f,0.095,0.1165,0.1076,0.1743,0.0902,0.1017
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#2a9d8f,0.0949,0.1154,0.106,0.1663,0.0902,0.1009
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#2a9d8f,0.0953,0.1161,0.1063,0.1659,0.0909,0.1024
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#2a9d8f,0.0959,0.1182,0.1069,0.1684,0.091,0.103
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#2a9d8f,0.096,0.1179,0.107,0.1681,0.0911,0.1027
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#2a9d8f,0.0959,0.1176,0.1069,0.1679,0.0912,0.103
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-266,266,2652,2652,0.20060331825037708,#e76f51,0.0877,0.1121,0.103,0.1834,0.0818,0.094
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-532,532,2652,2652,0.40120663650075417,#e76f51,0.0925,0.1169,0.1086,0.191,0.0867,0.0987
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-798,798,2652,2652,0.6018099547511312,#e76f51,0.0901,0.1154,0.1062,0.1902,0.0844,0.0977
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1064,1064,2652,2652,0.8024132730015083,#e76f51,0.0906,0.1168,0.1061,0.1887,0.0849,0.0989
