variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,aligned_epoch,aligned_tail_index,aligned_tail_point_count,aligned_reference_key
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#f4a261,0.093,0.1182,0.1093,0.1935,0.0875,0.1011,1.90625,6,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#f4a261,0.093,0.118,0.1096,0.1947,0.0876,0.1014,1.9375,7,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#f4a261,0.0931,0.1189,0.1094,0.1941,0.0875,0.1014,1.96875,8,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-3326,3326,3326,3326,2.0,#f4a261,0.0929,0.1186,0.1092,0.1938,0.0872,0.1009,2.0,9,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-532,532,2652,2652,0.40120663650075417,#e76f51,0.0925,0.1169,0.1086,0.191,0.0867,0.0987,1.75,1,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-798,798,2652,2652,0.6018099547511312,#e76f51,0.0901,0.1154,0.1062,0.1902,0.0844,0.0977,1.78125,2,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1064,1064,2652,2652,0.8024132730015083,#e76f51,0.0906,0.1168,0.1061,0.1887,0.0849,0.0989,1.8125,3,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1330,1330,2652,2652,1.0030165912518854,#e76f51,0.0926,0.117,0.1088,0.1918,0.0873,0.1005,1.84375,4,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1596,1596,2652,2652,1.2036199095022624,#e76f51,0.0934,0.1178,0.1092,0.1909,0.0876,0.0996,1.875,5,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1862,1862,2652,2652,1.4042232277526394,#e76f51,0.0937,0.1192,0.1096,0.1928,0.0878,0.1007,1.90625,6,9,dynamic_dual_task
