HR@1,HR@10,HR@20,HR@3,HR@5,HR@50,NDCG@1,NDCG@10,NDCG@20,NDCG@3,NDCG@5,NDCG@50,checkpoint,checkpoint_step,experiment,status
0.07,0.1126,0.1361,0.0872,0.0954,0.1866,0.07,0.0889,0.0948,0.08,0.0833,0.1048,checkpoint-666,666,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0697,0.1122,0.1384,0.0879,0.0953,0.1908,0.0697,0.0888,0.0953,0.0803,0.0833,0.1057,checkpoint-999,999,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0707,0.1124,0.1391,0.0878,0.0961,0.1878,0.0707,0.0892,0.096,0.0806,0.084,0.1055,checkpoint-1332,1332,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0722,0.116,0.1407,0.0903,0.0995,0.1905,0.0722,0.0919,0.0981,0.0829,0.0866,0.108,checkpoint-1665,1665,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0704,0.1129,0.1359,0.0882,0.0971,0.1806,0.0704,0.0896,0.0954,0.0809,0.0846,0.1042,checkpoint-1998,1998,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0721,0.1129,0.1356,0.0897,0.0975,0.1814,0.0721,0.0906,0.0962,0.0824,0.0856,0.1053,checkpoint-2331,2331,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0714,0.1125,0.1369,0.0896,0.0974,0.1818,0.0714,0.0902,0.0963,0.0821,0.0853,0.1052,checkpoint-2664,2664,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0726,0.1126,0.1376,0.0898,0.0976,0.1809,0.0726,0.0907,0.097,0.0826,0.0859,0.1055,checkpoint-2997,2997,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0726,0.1125,0.137,0.0896,0.0975,0.1816,0.0726,0.0906,0.0968,0.0825,0.0858,0.1056,checkpoint-3326,3326,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0669,0.1119,0.1375,0.0847,0.0937,0.1834,0.0669,0.0868,0.0932,0.0772,0.081,0.1023,checkpoint-333,333,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
